# Run configuration
# Environment,unknown_env
# Render mode,unknown_render_mode
# Batch,128
# Gamma,0.99
# Eps_start,1.0
# Eps_end,0.01
# Eps_decay,2500
# Tau,0.005
# Lr,0.0003

Episode,Reward,Episode_length,Status
0,-204.09819080038505,112,Terminated: Crash
1,-394.6889617293004,108,Terminated: Out of view
2,-293.3505498767253,83,Terminated: Crash
3,-122.51565435496525,87,Terminated: Crash
4,-173.4228691060852,123,Terminated: Crash
5,-157.90672465686663,106,Terminated: Crash
6,-105.06275561303022,94,Terminated: Crash
7,-57.651381078021146,144,Terminated: Crash
8,-172.15461218911673,108,Terminated: Crash
9,88.39227155620908,999,Truncated: Sleep
10,-34.61453066677933,154,Terminated: Crash
11,-59.63398399919683,204,Terminated: Crash
12,87.31119879701822,999,Truncated: Sleep
13,-146.94578363031886,999,Truncated: Sleep
14,-171.3935897440472,999,Truncated: Sleep
15,-144.4642884851643,999,Truncated: Sleep
16,-138.85283416116707,999,Truncated: Sleep
17,-224.12669950626437,999,Truncated: Sleep
18,-235.9811581855186,999,Truncated: Sleep
19,-266.0207733697433,692,Terminated: Crash
20,-261.3300001142873,476,Terminated: Crash
21,-208.6124691925791,209,Terminated: Crash
22,-221.31623394307292,791,Terminated: Crash
23,-86.14467234170748,380,Terminated: Crash
24,-173.27051235935193,136,Terminated: Crash
25,-163.45709682100392,248,Terminated: Crash
26,223.76886844861338,389,Terminated: Landed
27,226.21124370588166,512,Terminated: Landed
28,-153.11551598887235,111,Terminated: Crash
29,-115.52712409308688,127,Terminated: Crash
30,-166.22240696406482,187,Terminated: Crash
31,-155.62847435689588,234,Terminated: Crash
32,-166.1500774511656,298,Terminated: Crash
33,-124.42826586404863,181,Terminated: Crash
34,116.52153455028372,864,Terminated: Crash
35,196.71306475460273,458,Terminated: Crash
36,131.8461197697381,980,Terminated: Crash
37,171.1690636830843,750,Terminated: Crash
38,232.92838508988308,510,Terminated: Landed
39,176.7491314308204,781,Terminated: Crash
40,-57.12964246603346,371,Terminated: Crash
