# Run configuration
# Environment,LunarLander-v3
# Render mode,rgb_array
# Batch,128
# Gamma,0.99
# Eps_start,1.0
# Eps_end,0.01
# Eps_decay,2500
# Tau,0.005
# Lr,0.0003

Episode,Reward,Episode_length,Status
0,-240.06470009499816,201,Terminated: Crash
1,-257.9253423193745,101,Terminated: Crash
2,-50.4840968231201,151,Terminated: Crash
3,-306.067646845942,176,Terminated: Out of view
4,-117.29658951258091,93,Terminated: Crash
5,-349.08307144865717,351,Terminated: Out of view
6,-293.4589681687051,142,Terminated: Crash
7,144.3446009087636,999,Truncated: Sleep
8,-57.28348870826257,999,Truncated: Sleep
9,-56.474307408872434,999,Truncated: Sleep
10,-55.61392589858407,999,Truncated: Sleep
11,-52.364657443205786,999,Truncated: Sleep
12,-69.35295610326854,999,Truncated: Sleep
13,-98.0330520246738,446,Terminated: Crash
14,-34.436313642317536,999,Truncated: Sleep
15,-85.24906588811471,175,Terminated: Crash
16,-89.2011132310113,145,Terminated: Crash
17,-106.75084818486877,134,Terminated: Crash
18,-113.83358063039907,262,Terminated: Crash
19,68.60275831727046,999,Truncated: Sleep
20,-129.450867516025,206,Terminated: Crash
21,52.514433884921175,999,Truncated: Sleep
22,-90.8235101968744,295,Terminated: Crash
23,-97.8403975790979,128,Terminated: Crash
24,-110.51813150421057,581,Terminated: Crash
25,-97.94237359001926,234,Terminated: Crash
26,-100.60008803091834,162,Terminated: Crash
27,59.38692437635118,999,Truncated: Sleep
28,-93.17847011091482,270,Terminated: Crash
29,-95.17987949428088,179,Terminated: Crash
30,-116.6572224121436,483,Terminated: Crash
31,44.54806541011761,999,Truncated: Sleep
32,-105.28444791269484,388,Terminated: Crash
33,38.821036709902806,999,Truncated: Sleep
34,-0.6560744697209282,999,Truncated: Sleep
35,-40.00414910124353,999,Truncated: Sleep
36,51.786199078663955,999,Truncated: Sleep
37,-4.951341030240087,999,Truncated: Sleep
38,26.422396648381294,999,Truncated: Sleep
39,18.362441923334554,999,Truncated: Sleep
40,28.46912373126183,999,Truncated: Sleep
41,19.586048137260597,999,Truncated: Sleep
42,37.5305051389947,999,Truncated: Sleep
43,16.57841343640587,999,Truncated: Sleep
44,25.882243040695627,999,Truncated: Sleep
45,33.07701755064606,999,Truncated: Sleep
46,42.069774191403226,999,Truncated: Sleep
47,66.72462287946358,999,Truncated: Sleep
48,67.03999896556381,999,Truncated: Sleep
49,60.94542203135199,999,Truncated: Sleep
50,49.35208731902702,999,Truncated: Sleep
51,44.980026834774854,999,Truncated: Sleep
52,69.18960471226316,999,Truncated: Sleep
53,3.352479167666349,999,Truncated: Sleep
54,35.85575565663536,999,Truncated: Sleep
55,43.48243764519267,999,Truncated: Sleep
56,34.39424605187015,999,Truncated: Sleep
57,56.28519677793556,999,Truncated: Sleep
58,-33.758651080397755,201,Terminated: Crash
59,37.11801055358677,999,Truncated: Sleep
60,-115.86000697047496,651,Terminated: Crash
61,64.93727734776022,999,Truncated: Sleep
62,60.3265450408578,999,Truncated: Sleep
63,52.50004705119631,999,Truncated: Sleep
64,-157.34598489979226,836,Terminated: Crash
65,-44.21438555969961,344,Terminated: Crash
66,217.22077497802258,783,Terminated: Landed
67,-161.36851634757187,968,Terminated: Crash
68,187.72763910852265,777,Terminated: Crash
69,182.29824774297668,635,Terminated: Crash
70,235.55199561079206,493,Terminated: Landed
71,37.4722723044619,999,Truncated: Sleep
72,215.9628523962198,345,Terminated: Landed
73,-281.4319019705872,156,Terminated: Crash
74,-68.93240089122946,515,Terminated: Crash
75,231.52311883321005,986,Terminated: Landed
76,-80.41843327605741,361,Terminated: Crash
77,81.15892748894503,999,Truncated: Sleep
78,68.80956639308948,999,Truncated: Sleep
79,15.618089267675376,999,Truncated: Sleep
80,51.61714699553915,999,Truncated: Sleep
81,20.440595021625544,999,Truncated: Sleep
82,240.32446668772693,933,Terminated: Landed
83,-5.297654785661113,999,Truncated: Sleep
84,-20.40208226298911,999,Truncated: Sleep
85,42.50975135628545,999,Truncated: Sleep
86,111.5204872083071,999,Truncated: Sleep
87,71.9475549094403,999,Truncated: Sleep
88,-152.7042271626079,585,Terminated: Crash
89,203.29832070337545,584,Terminated: Landed
90,203.72360029260028,962,Terminated: Landed
91,81.78341957167831,999,Truncated: Sleep
92,-122.8585163192658,623,Terminated: Crash
93,202.6881106819094,672,Terminated: Landed
94,-97.93938157737483,281,Terminated: Crash
